state,agency,county,model,signed
Alabama,Anniston Police Department,Calhoun County,TFM,2026-07-10
Alabama,Autauga County Sheriff's Office,Autauga County,JEM,2025-09-22
Alabama,Autauga County Sheriff's Office,Autauga County,TFM,2025-09-22
Alabama,Autauga County Sheriff's Office,Autauga County,WSO,2025-09-22
Alabama,Baldwin County Sheriff's Office,Baldwin County,TFM,2025-10-17
Alabama,Blount County Sheriff's Office,Blount County,TFM,2026-01-26
Alabama,Brookside Police Department,Jefferson County,TFM,2026-06-14
Alabama,Calhoun County Sheriff's Office,Calhoun County,TFM,2026-07-20
Alabama,Camp Hill Police Department,Tallapoosa County,TFM,2025-12-08
Alabama,Cedar Bluff Police Department,Cherokee County,TFM,2026-04-29
Alabama,Chambers County Sheriff's Office,Chambers County,TFM,2026-07-20
Alabama,Cherokee County Sheriff's Office,Cherokee County,JEM,2026-06-29
Alabama,Cherokee County Sheriff's Office,Cherokee County,TFM,2026-02-10
Alabama,Cherokee County Sheriff's Office,Cherokee County,WSO,2025-06-25
Alabama,Cherokee Police Department,Cherokee County,TFM,2026-02-14
Alabama,Clarke County Sheriff's Office,Clarke County,TFM,2026-01-30
Alabama,Clayton Police Department,Barbour County,TFM,2026-06-14
Alabama,Colbert County Sheriff's Office,Colbert County,JEM,2025-05-08
Alabama,Colbert County Sheriff's Office,Colbert County,TFM,2025-07-02
Alabama,Colbert County Sheriff's Office,Colbert County,WSO,2025-05-08
Alabama,Cottonwood Police Department,Houston County,TFM,2026-07-13
Alabama,Courtland Police Department,Lawrence County,TFM,2026-03-13
Alabama,Crenshaw County Sheriff's Office,Crenshaw County,WSO,2025-04-16
Alabama,DeKalb County Sheriff's Office,DeKalb County,TFM,2025-12-08
Alabama,Demopolis Police Department,Marengo County,TFM,2026-01-26
Alabama,Eclectic Police Department,Elmore County,TFM,2026-05-21
Alabama,Elberta Police Department,Baldwin County,TFM,2025-11-14
Alabama,Elmore County Sheriff's Office,Elmore County,JEM,2025-03-17
Alabama,Etowah County Sheriff's Office,Etowah County,JEM,2020-06-09
Alabama,Etowah County Sheriff's Office,Etowah County,TFM,2025-12-08
Alabama,Florala Police Department,Covington County,TFM,2026-02-23
Alabama,Foley Police Department,Baldwin County,TFM,2026-03-25
Alabama,Franklin County Sheriff's Office,Frankin County,JEM,2025-06-11
Alabama,Franklin County Sheriff's Office,Franklin County,TFM,2025-11-06
Alabama,Franklin County Sheriff's Office,Franklin County,WSO,2025-03-26
Alabama,Gordo Police Department,Pickens County,TFM,2026-07-09
Alabama,Grove Hill Police Department,Clarke County,TFM,2026-07-02
