form,effective,published,amount,citation,fr_document,url,source_sentence
G-1041,2010-11-23,2010-09-24,20,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(E) Request for a search of indices to historical records to be used in genealogical research (Form G-1041): $20.
G-1041,2016-12-23,2016-10-24,65,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(E) Request for a search of indices to historical records to be used in genealogical research, Form G-1041: $65."
G-1041,2024-04-01,2024-01-31,80,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(1) Genealogy Index Search Request, Form G-1041. The fee is due regardless of the search results. $80."
G-1041A,2016-12-23,2016-10-24,65,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(F) Request for a copy of historical records to be used in genealogical research, Form G-1041A: $65."
G-1041A,2024-04-01,2024-01-31,80,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(2) Genealogy Records Request, Form G-1041A. USCIS will refund the records request fee when it cannot find any file previously identified in response to the index search request. $80."
I-102,2010-11-23,2010-09-24,330,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,"(H) Application for Replacement/Initial Nonimmigrant Arrival- Departure Document (Form I-102). For filing a petition for an application for Arrival/De [...] s Landing Permit (Form I-95), in lieu of one lost, mutilated, or destroyed: $330."
I-102,2016-12-23,2016-10-24,445,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(H) Application for Replacement/Initial Nonimmigrant Arrival- Departure Document, Form I-102. For filing a petition for an application for Arrival/Dep [...] n's Landing Permit Form I-95, to replace one lost, mutilated, or destroyed: $445."
I-102,2024-04-01,2024-01-31,560,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(2) Application for Replacement/Initial Nonimmigrant Arrival- Departure Document, Form I-102. For filing an application for Arrival/ Departure Record  [...] n's Landing Permit Form I-95, to replace one lost, mutilated, or destroyed: $560."
I-129,2010-11-23,2010-09-24,325,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(I) Petition for a Nonimmigrant Worker (Form I-129). For filing a petition for a nonimmigrant worker: $325.
I-129,2016-12-23,2016-10-24,460,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(I) Petition for a Nonimmigrant Worker, Form I-129. For filing a petition for a nonimmigrant worker: $460."
I-129F,2010-11-23,2010-09-24,340,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(K) Petition for Alien Fianc[eacute](e) (Form I-129F). For filing a petition to classify a nonimmigrant as a fianc[eacute]e or fianc[eacute] under section 214(d) of the Act: $340;
I-129F,2016-12-23,2016-10-24,535,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(K) Petition for Alien Fianc[eacute](e), Form I-129F. For filing a petition to classify a nonimmigrant as a fianc[eacute]e or fianc[eacute] under section 214(d) of the Act: $535;"
I-130,2010-11-23,2010-09-24,420,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(L) Petition for Alien Relative (Form I-130). For filing a petition to classify status of an alien relative for issuance of an immigrant visa under section 204(a) of the Act: $420.
I-130,2016-12-23,2016-10-24,535,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(L) Petition for Alien Relative, Form I-130. For filing a petition to classify status of a foreign national relative for issuance of an immigrant visa under section 204(a) of the Act: $535."
I-130,2024-04-01,2024-01-31,675,89 FR 6194,2024-01427,https://www.federalregister.gov/documents/2024/01/31/2024-01427/us-citizenship-and-immigration-services-fee-schedule-and-changes-to-certain-other-immigration,"(6) Petition for Alien Relative, Form I-130. For filing a petition to classify status of a foreign national relative for issuance of an immigrant visa under section 204(a) of the Act. $675."
I-140,2010-11-23,2010-09-24,580,75 FR 58962,2010-23725,https://www.federalregister.gov/documents/2010/09/24/2010-23725/us-citizenship-and-immigration-services-fee-schedule,(N) Immigrant Petition for Alien Worker (Form I-140). For filing a petition to classify preference status of an alien on the basis of profession or occupation under section 204(a) of the Act: $580.
I-140,2016-12-23,2016-10-24,700,81 FR 73292,2016-25328,https://www.federalregister.gov/documents/2016/10/24/2016-25328/us-citizenship-and-immigration-services-fee-schedule,"(N) Immigrant Petition for Alien Worker, Form I-140. For filing a petition to classify preference status of an alien on the basis of profession or occupation under section 204(a) of the Act: $700."
